$ docker service logs vdi_guacamole2
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 06:59:56.486 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 06:59:56.660 [localhost-startStop-1] INFO  o.a.g.extension.ExtensionModule - Extension "LDAP Authentication" loaded.
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 06:59:56.662 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 06:59:56.767 [localhost-startStop-1] INFO  o.a.g.t.w.WebSocketTunnelModule - Loading JSR-356 WebSocket support...
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.000 WARNING [localhost-startStop-1] org.apache.catalina.util.SessionIdGeneratorBase.createSecureRandom Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [75,992] milliseconds.
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.087 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.RESTExceptionMapper as a provider class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.087 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.extension.ExtensionRESTService as a root resource class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.087 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.language.LanguageRESTService as a root resource class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.087 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.patch.PatchRESTService as a root resource class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.088 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.auth.TokenRESTService as a root resource class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.088 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.session.SessionRESTService as a root resource class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.088 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.codehaus.jackson.jaxrs.JacksonJsonProvider as a provider class
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.091 INFO [localhost-startStop-1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.17.1 02/28/2013 12:47 PM'
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.179 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.RESTExceptionMapper to GuiceManagedComponentProvider with the scope "Singleton"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.182 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.codehaus.jackson.jaxrs.JacksonJsonProvider to GuiceManagedComponentProvider with the scope "Singleton"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.690 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.extension.ExtensionRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.697 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.language.LanguageRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.698 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.patch.PatchRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.701 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.auth.TokenRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.703 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.session.SessionRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.811 INFO [localhost-startStop-1] org.webjars.servlet.WebjarsServlet.init WebjarsServlet initialization completed
