$ docker service logs vdi_guacamole2
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.843 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployWAR Deployment of web application archive [/usr/local/tomcat/webapps/guacamole.war] has finished in [80,100] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.844 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/host-manager]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.866 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/host-manager] has finished in [21] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.866 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/examples]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.987 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/examples] has finished in [121] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:13.988 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/manager]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.002 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/manager] has finished in [15] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.002 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/ROOT]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.011 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/ROOT] has finished in [9] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.011 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/docs]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.020 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/docs] has finished in [9] ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.026 INFO [main] org.apache.coyote.AbstractProtocol.start Starting ProtocolHandler ["http-nio-8080"]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.046 INFO [main] org.apache.coyote.AbstractProtocol.start Starting ProtocolHandler ["ajp-nio-8009"]
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 25-Apr-2019 07:01:14.068 INFO [main] org.apache.catalina.startup.Catalina.start Server startup in 80374 ms
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | Thu Apr 25 07:01:15 UTC 2019 WARN: Establishing SSL connection without server's identity verification is not recommended. According to MySQL 5.5.45+, 5.6.26+ and 5.7.6+ requirements SSL connection must be established by default if explicit option isn't set. For compliance with existing applications not using SSL the verifyServerCertificate property is set to 'false'. You need either to explicitly disable SSL by setting useSSL=false, or set useSSL=true and provide truststore for server certificate verification.
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.286 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.18060.0.0.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.287 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.7)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.288 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.2)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.288 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.319)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.289 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.3)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.290 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.18)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.290 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.473)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.291 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.474)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.292 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.o.DefaultLdapCodecService - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.10.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.292 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.18060.0.0.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.292 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.7)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.2)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.319)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.3)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.18)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.473)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.474)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.293 [http-nio-8080-exec-5] INFO  o.a.d.a.l.c.StockCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.10.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.295 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.841)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.296 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.841)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.296 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.2239)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.297 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.417)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.297 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.528)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.298 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.42.2.27.8.5.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.298 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.42.2.27.8.5.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.299 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.2.840.113556.1.4.1413)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.300 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.3)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.300 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.1)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.301 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.4.1.4203.1.9.1.2)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.302 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (1.3.6.1.1.21.2)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.302 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.9)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.303 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06000_REGISTERED_CONTROL_FACTORY (2.16.840.1.113730.3.4.10)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.304 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.1.8)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.305 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.8)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.307 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.1.21.3)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.307 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.5)
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 07:01:51.308 [http-nio-8080-exec-5] INFO  o.a.d.a.l.e.ExtrasCodecFactoryUtil - MSG_06001_REGISTERED_EXTENDED_OP_FACTORY (1.3.6.1.4.1.18060.0.1.3)
