vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:31.731 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:32.767 [http-nio-8080-exec-9] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1036 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:35.952 [http-nio-8080-exec-10] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:36.238 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:37.063 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 824 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:42.752 [http-nio-8080-exec-10] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:43.130 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:44.365 [http-nio-8080-exec-6] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1234 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:47.272 [http-nio-8080-exec-9] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:47.550 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:48.721 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1170 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:54.119 [http-nio-8080-exec-3] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:54.494 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:56.181 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1687 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:59.884 [http-nio-8080-exec-8] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:00.203 [http-nio-8080-exec-5] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:01.056 [http-nio-8080-exec-9] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 853 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:06.510 [http-nio-8080-exec-7] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:06.935 [http-nio-8080-exec-9] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:07.840 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 905 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:10.490 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:10.771 [http-nio-8080-exec-6] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:11.698 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 927 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:31:17.723 [http-nio-8080-exec-4] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
