$ docker service logs vdi_guacamole2
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.729 INFO [main] org.apache.catalina.core.StandardService.startInternal Starting service [Catalina]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.729 INFO [main] org.apache.catalina.core.StandardEngine.startInternal Starting Servlet Engine: Apache Tomcat/8.5.40
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.760 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployWAR Deploying web application archive [/usr/local/tomcat/webapps/guacamole.war]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:03.832 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:04.230 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:04.315 [localhost-startStop-1] INFO  o.a.g.rest.auth.HashTokenSessionMap - Sessions will expire after 60 minutes of inactivity.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:04.472 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:05.555 [localhost-startStop-1] INFO  o.a.g.extension.ExtensionModule - Extension "MySQL Authentication" loaded.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:05.559 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:05.729 [localhost-startStop-1] INFO  o.a.g.extension.ExtensionModule - Extension "LDAP Authentication" loaded.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:05.731 [localhost-startStop-1] INFO  o.a.g.environment.LocalEnvironment - GUACAMOLE_HOME is "/root/.guacamole".
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 06:35:05.835 [localhost-startStop-1] INFO  o.a.g.t.w.WebSocketTunnelModule - Loading JSR-356 WebSocket support...
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.191 WARNING [localhost-startStop-1] org.apache.catalina.util.SessionIdGeneratorBase.createSecureRandom Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [80,122] milliseconds.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.275 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.RESTExceptionMapper as a provider class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.275 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.extension.ExtensionRESTService as a root resource class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.275 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.language.LanguageRESTService as a root resource class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.276 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.patch.PatchRESTService as a root resource class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.276 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.auth.TokenRESTService as a root resource class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.276 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.apache.guacamole.rest.session.SessionRESTService as a root resource class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.276 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.register Registering org.codehaus.jackson.jaxrs.JacksonJsonProvider as a provider class
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.279 INFO [localhost-startStop-1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.17.1 02/28/2013 12:47 PM'
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.363 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.RESTExceptionMapper to GuiceManagedComponentProvider with the scope "Singleton"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.366 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.codehaus.jackson.jaxrs.JacksonJsonProvider to GuiceManagedComponentProvider with the scope "Singleton"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.805 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.extension.ExtensionRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.811 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.language.LanguageRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.812 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.patch.PatchRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.816 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.auth.TokenRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.817 INFO [localhost-startStop-1] com.sun.jersey.guice.spi.container.GuiceComponentProviderFactory.getComponentProvider Binding org.apache.guacamole.rest.session.SessionRESTService to GuiceManagedComponentProvider with the scope "PerRequest"
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.955 INFO [localhost-startStop-1] org.webjars.servlet.WebjarsServlet.init WebjarsServlet initialization completed
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.972 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployWAR Deployment of web application archive [/usr/local/tomcat/webapps/guacamole.war] has finished in [84,212] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.973 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/host-manager]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.995 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/host-manager] has finished in [22] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:26.995 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/examples]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.119 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/examples] has finished in [124] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.119 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/manager]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.134 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/manager] has finished in [15] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.134 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/ROOT]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.144 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/ROOT] has finished in [9] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.144 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deploying web application directory [/usr/local/tomcat/webapps/docs]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.153 INFO [localhost-startStop-1] org.apache.catalina.startup.HostConfig.deployDirectory Deployment of web application directory [/usr/local/tomcat/webapps/docs] has finished in [9] ms
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.159 INFO [main] org.apache.coyote.AbstractProtocol.start Starting ProtocolHandler ["http-nio-8080"]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.175 INFO [main] org.apache.coyote.AbstractProtocol.start Starting ProtocolHandler ["ajp-nio-8009"]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:36:27.234 INFO [main] org.apache.catalina.startup.Catalina.start Server startup in 84526 ms
